                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                      38                  9.9999999995384348E-001                 -2.9164433128214854E-005                  3.8370688633215773E+000                 -6.5504681358737900E+000                  5.1027562150350727E+000                  7.2698714848188117E-001                  2.5429037407358268E-001                  1.8722477444536145E-002                  9.9993284866578513E-001                  7.8125000000000700E-013                  8.3973534936739982E+005 
                                      39                  9.9999999995306210E-001                 -2.9730423610924203E-005                  3.8389415873376498E+000                 -6.5499731483637511E+000                  5.1051490047025121E+000                  7.2698714848187107E-001                  2.5429037407359106E-001                  1.8722477444537811E-002                  9.9993154551290042E-001                  7.8125000000000053E-013                  8.4062661685515242E+005 
                                      40                  9.9999999995228084E-001                 -3.0295771578422218E-005                  3.8408269431618760E+000                 -6.5495050864552313E+000                  5.1075286956128911E+000                  7.2698714848186075E-001                  2.5429037407359967E-001                  1.8722477444539587E-002                  9.9993024384105678E-001                  7.8125000000000053E-013                  8.4149896912640578E+005 
                                      41                  9.9999999995149957E-001                 -3.0860512777200915E-005                  3.8436679748671763E+000                 -6.5488424679969608E+000                  5.1110739787108805E+000                  7.2698714848185020E-001                  2.5429037407360833E-001                  1.8722477444541474E-002                  9.9992894356794493E-001                  1.5625000000000140E-012                  8.4276646846869600E+005 
                                      42                  9.9999999994993705E-001                 -3.1988279785831987E-005                  3.8474898916579598E+000                 -6.5480420726056501E+000                  5.1157564957896628E+000                  7.2698714848184487E-001                  2.5429037407361282E-001                  1.8722477444542251E-002                  9.9992634697633176E-001                  1.5625000000000075E-012                  8.4438344016299536E+005 
                                      43                  9.9999999994837452E-001                 -3.3113979020324655E-005                  3.8503673853653986E+000                 -6.5474892777184115E+000                  5.1192355826896510E+000                  7.2698714848183366E-001                  2.5429037407362204E-001                  1.8722477444544250E-002                  9.9992375515232423E-001                  7.8125000000000053E-013                  8.4553615375474433E+005 
                                      44                  9.9999999994759325E-001                 -3.3676115944024280E-005                  3.8522828889597212E+000                 -6.5471350635165990E+000                  5.1215395980333822E+000                  7.2698714848182233E-001                  2.5429037407363142E-001                  1.8722477444546248E-002                  9.9992246088375003E-001                  7.8125000000000700E-013                  8.4627369330862153E+005 
                                      45                  9.9999999994681199E-001                 -3.4237796750120955E-005                  3.8541956237291939E+000                 -6.5467917550662724E+000                  5.1238314664362719E+000                  7.2698714848181090E-001                  2.5429037407364097E-001                  1.8722477444548136E-002                  9.9992116766701788E-001                  7.8125000000000700E-013                  8.4698685989219870E+005 
                                      46                  9.9999999994603073E-001                 -3.4799035901854267E-005                  3.8570544063801862E+000                 -6.5462920026068216E+000                  5.1272467674058388E+000                  7.2698714848179935E-001                  2.5429037407365063E-001                  1.8722477444550023E-002                  9.9991987546882355E-001                  1.5625000000000140E-012                  8.4801030858684378E+005 
                                      47                  9.9999999994446831E-001                 -3.5920229799938669E-005                  3.8598956238031712E+000                 -6.5458052106181865E+000                  5.1306354546627402E+000                  7.2698714848178725E-001                  2.5429037407366062E-001                  1.8722477444552132E-002                  9.9991729403465268E-001                  7.8125000000000700E-013                  8.4897830783567845E+005 
                                      48                  9.9999999994368693E-001                 -3.6480201992062721E-005                  3.8617768835849269E+000                 -6.5454847104663818E+000                  5.1328799901559075E+000                  7.2698714848177515E-001                  2.5429037407367072E-001                  1.8722477444554131E-002                  9.9991600475850151E-001                  7.8125000000000700E-013                  8.4959305081818230E+005 
                                      49                  9.9999999994290567E-001                 -3.7039763252693519E-005                  3.8636456728132385E+000                 -6.5451651630843877E+000                  5.1351129964625590E+000                  7.2698714848176282E-001                  2.5429037407368094E-001                  1.8722477444556240E-002                  9.9991471643013674E-001                  7.8125000000001346E-013                  8.5018374451021221E+005 
                                      50                  9.9999999994212441E-001                 -3.7598915107627616E-005                  3.8664248495201519E+000                 -6.5446867543010416E+000                  5.1384411418139901E+000                  7.2698714848175028E-001                  2.5429037407369126E-001                  1.8722477444558461E-002                  9.9991342904604175E-001                  1.5625000000001497E-012                  8.5102681310586375E+005 
                                      51                  9.9999999994056188E-001                 -3.8715994066110857E-005                  3.8700695741190518E+000                 -6.5440332736560336E+000                  5.1428394078123532E+000                  7.2698714848174395E-001                  2.5429037407369659E-001                  1.8722477444559460E-002                  9.9991085710266714E-001                  1.5625000000000398E-012                  8.5207277986344299E+005 
                                      52                  9.9999999993899935E-001                 -3.9831402025587210E-005                  3.8727499367508855E+000                 -6.5435228574848123E+000                  5.1461091539857087E+000                  7.2698714848173074E-001                  2.5429037407370753E-001                  1.8722477444561791E-002                  9.9990828901317252E-001                  7.8125000000000700E-013                  8.5280254907095002E+005 
                                      53                  9.9999999993821809E-001                 -4.0388454152407020E-005                  3.8745149406709203E+000                 -6.5431760930188467E+000                  5.1482753990649481E+000                  7.2698714848171742E-001                  2.5429037407371863E-001                  1.8722477444564012E-002                  9.9990700647170583E-001                  7.8125000000000700E-013                  8.5326620585212088E+005 
                                      54                  9.9999999993743682E-001                 -4.0945063816435130E-005                  3.8771285562970976E+000                 -6.5426448251905809E+000                  5.1515046572777567E+000                  7.2698714848170398E-001                  2.5429037407372979E-001                  1.8722477444566232E-002                  9.9990572495059638E-001                  1.5625000000000011E-012                  8.5393006977520895E+005 
                                      55                  9.9999999993587430E-001                 -4.2056928594593145E-005                  3.8805297338309832E+000                 -6.5418942230856709E+000                  5.1557733631064977E+000                  7.2698714848169699E-001                  2.5429037407373556E-001                  1.8722477444567454E-002                  9.9990316503196919E-001                  1.5625000000000011E-012                  8.5475808365326107E+005 
                                      56                  9.9999999993431177E-001                 -4.3166881885888276E-005                  3.8838403971305215E+000                 -6.5411003168867179E+000                  5.1600005626410956E+000                  7.2698714848168988E-001                  2.5429037407374144E-001                  1.8722477444568675E-002                  9.9990060952081949E-001                  1.5625000000000011E-012                  8.5553017604545644E+005 
                                      57                  9.9999999993274924E-001                 -4.4274816484939592E-005                  3.8870587995392469E+000                 -6.5402607226535077E+000                  5.1641870556130369E+000                  7.2698714848168255E-001                  2.5429037407374744E-001                  1.8722477444570007E-002                  9.9989805866393788E-001                  1.5625000000000140E-012                  8.5625505550363951E+005 
                                      58                  9.9999999993118671E-001                 -4.5380619704309084E-005                  3.8901845540621687E+000                 -6.5393737039607638E+000                  5.1683336188549038E+000                  7.2698714848167523E-001                  2.5429037407375360E-001                  1.8722477444571117E-002                  9.9989551272073407E-001                  1.5625000000000011E-012                  8.5694136482568679E+005 
